"";"author";"title";"date";"filename";"century";"words";"lemma_quantity";"normalized_lemma_quantity";"16th_century_mean_similarity";"17th_century_mean_similarity";"18th_century_mean_similarity";"19th_century_mean_similarity";"20th_century_mean_similarity"
"0";"José de Anchieta";"Feitos de Mem de Sá";"1560 – 1562";"anchieta1560.txt";"16th Century";"27163";"3475";"0.1279313772411";"0.3918181818181818";"0.37388888888888894";"0.35000000000000003";"0.3772222222222222";"0.3553846153846154"
"1";"José de Anchieta";"Auto de Sao Lourenco";"1586";"anchieta1586.txt";"16th Century";"6896";"1384";"0.20069605568445475";"0.48454545454545456";"0.4633333333333333";"0.4921428571428571";"0.4650000000000001";"0.446923076923077"
"2";"Joao de Barros";"Gramática";"1540";"barros1540.txt";"16th Century";"51060";"4497";"0.08807285546415981";"0.5863636363636364";"0.5822222222222222";"0.5607142857142857";"0.577777777777778";"0.576923076923077"
"3";"Pero Vaz de Caminha";"Carta a Manuel I";"1500";"caminha1500.txt";"16th Century";"7915";"894";"0.11295009475679091";"0.5381818181818182";"0.518888888888889";"0.4764285714285714";"0.5091666666666668";"0.5207692307692308"
"4";"Luis de Camoes";"Os Lusíadas";"1572";"camoes1572.txt";"16th Century";"55474";"3893";"0.07017701986516206";"0.5372727272727272";"0.505";"0.48071428571428576";"0.4816666666666666";"0.48000000000000004"
"5";"Luís de Camoes";"Sonetos";"16th Century";"camoes16th.txt";"16th Century";"15198";"1704";"0.11212001579155152";"0.4936363636363636";"0.47777777777777786";"0.4878571428571428";"0.48027777777777775";"0.4653846153846154"
"6";"Pero de Magalhaes Gandavo";"História da Província Santa Cruz";"1576";"gandavo1576.txt";"16th Century";"21537";"1796";"0.08339137298602405";"0.5181818181818181";"0.5016666666666667";"0.47214285714285714";"0.47583333333333333";"0.4784615384615385"
"7";"Francisco Guerreiro";"Itinerário da Viagem que Fez a Jerusalém o M.R.P.";"16th Century";"guerreiro16th.txt";"16th Century";"17304";"1385";"0.08003929727230698";"0.4990909090909091";"0.4911111111111111";"0.44571428571428573";"0.4755555555555555";"0.4869230769230769"
"8";"Francisco de Holanda";"Da Pintura Antiga";"1548";"holanda1548.txt";"16th Century";"49038";"2486";"0.05069537909376402";"0.5145454545454545";"0.5305555555555557";"0.4992857142857143";"0.5083333333333333";"0.5000000000000001"
"9";"Fernao Mendes Pinto";"Peregrinacao";"1510";"pinto1510.txt";"16th Century";"44212";"2585";"0.05846828915226635";"0.5818181818181819";"0.5783333333333333";"0.5235714285714286";"0.5638888888888888";"0.5592307692307692"
"10";"Luis de Sousa";"A Vida de Frei Bartolomeu dos Mártires (Edited Orthography)";"1556";"sousa1556.txt";"16th Century";"52595";"3614";"0.06871375606046203";"0.5763636363636363";"0.5599999999999999";"0.5028571428571428";"0.5305555555555556";"0.5299999999999999"
"11";"Gil Vicente";"Mixed Texts";"16th Century";"vicente16th.txt";"16th Century";"125944";"5407";"0.042931779203455506";"0.54";"0.515";"0.5264285714285715";"0.5316666666666667";"0.53"
"12";"Manuel Pires de Almeida";"Poesia e Pintura";"1633";"almeida1633.txt";"17th Century";"24763";"2556";"0.10321851148891491";"0.39833333333333326";"0.4111764705882353";"0.39785714285714285";"0.39833333333333326";"0.4030769230769231"
"13";"Manuel de Almeida";"Vida de Takla Haymanot";"17th Century";"almeida17th.txt";"17th Century";"9157";"932";"0.1017800589712788";"0.5116666666666666";"0.5023529411764707";"0.4364285714285714";"0.4583333333333334";"0.4638461538461538"
"14";"Vicente Barbosa";"Compendio da Relaçam Que Veyo da India o Anno de 1691";"1691";"barbosa1691.txt";"17th Century";"9157";"932";"0.1017800589712788";"0.5116666666666666";"0.5023529411764707";"0.4364285714285714";"0.4583333333333334";"0.4638461538461538"
"15";"Antonio Brandao";"Monarchia Lusitana";"1632";"brandao1632.txt";"17th Century";"49938";"2993";"0.05993431855500821";"0.5108333333333334";"0.5282352941176471";"0.48071428571428576";"0.4799999999999999";"0.48999999999999994"
"16";"José da Cunha Brochado";"Cartas";"17th Century";"brochado17th.txt";"17th Century";"31888";"2692";"0.08442047165077772";"0.4991666666666667";"0.5233333333333333";"0.5014285714285714";"0.5144444444444445";"0.5176923076923077"
"17";"Antonio das Chagas";"Obras Espirituais II";"1687";"chagas1687.txt";"17th Century";"49603";"2794";"0.056327238271878716";"0.5558333333333334";"0.5676470588235294";"0.562857142857143";"0.5549999999999999";"0.546923076923077"
"18";"Manuel da Costa";"A Arte de Furtar";"1652";"costa1652.txt";"17th Century";"51548";"3198";"0.062039264374951504";"0.5524999999999999";"0.548235294117647";"0.5314285714285715";"0.5083333333333333";"0.5184615384615385"
"19";"Manuel de Galhegos";"Gazeta";"1641 – 1647";"galhegos1641.txt";"17th Century";"25438";"2103";"0.08267159367874832";"0.47333333333333333";"0.46529411764705886";"0.4042857142857143";"0.4147222222222222";"0.42923076923076925"
"20";"Francisco Rodrigues Lobo";"Corte da Aldeia e Noites de Inverno";"1619";"lobo1619.txt";"17th Century";"51830";"3588";"0.06922631680493922";"0.5308333333333334";"0.5594117647058823";"0.5471428571428573";"0.5425000000000001";"0.5423076923076922"
"21";"Gregorio de Matos";"Mixed Texts (Part 1)";"17th Century";"matos17th1.txt";"17th Century";"58454";"4231";"0.07238170185102816";"0.555";"0.5117647058823529";"0.5442857142857143";"0.5683333333333332";"0.5476923076923077"
"22";"Gregorio de Matos";"Mixed Texts (Part 2)";"17th Century";"matos17th2.txt";"17th Century";"41488";"5450";"0.13136328576937908";"0.5733333333333334";"0.5376470588235295";"0.5528571428571428";"0.5441666666666666";"0.543076923076923"
"23";"Francisco Manuel de Melo";"Tácito Portugues";"1650";"melo1650.txt";"17th Century";"34077";"3296";"0.09672212929541919";"0.4658333333333334";"0.5041176470588236";"0.4557142857142858";"0.47750000000000004";"0.48538461538461536"
"24";"Padre Antonio Vieira";"Sermao pelo Bom Sucesso das Armas de Portugal contra as de Holanda";"1640";"vieira1640.txt";"17th Century";"9145";"1319";"0.14423182066703116";"0.5208333333333334";"0.53";"0.5021428571428572";"0.4958333333333333";"0.4815384615384615"
"25";"Padre Antonio Vieira";"Sermao dos Bons Anos";"1642 – 1644";"vieira1642.txt";"17th Century";"8853";"1145";"0.12933468880605445";"0.4783333333333333";"0.49764705882352944";"0.4464285714285715";"0.4708333333333333";"0.46846153846153854"
"26";"Padre Antonio Vieira";"Sermao da Sexagésima";"1655";"vieira1655.txt";"17th Century";"11442";"1259";"0.1100332109771019";"0.4791666666666667";"0.4864705882352941";"0.4728571428571428";"0.4741666666666667";"0.4730769230769231"
"27";"Padre Antonio Vieira";"Sermao do Espírito Santo";"1657";"vieira1657.txt";"17th Century";"12139";"1530";"0.12604003624680782";"0.5016666666666666";"0.5047058823529411";"0.48357142857142854";"0.4838888888888889";"0.48230769230769227"
"28";"Padre Antonio Vieira";"Cartas";"1646 – 1670";"vieira1670.txt";"17th Century";"52391";"2699";"0.05151648183848371";"0.5141666666666667";"0.5300000000000001";"0.5128571428571429";"0.5100000000000001";"0.5123076923076924"
"29";"Padre Antonio Vieira";"Cartas";"17th Century";"vieira17th.txt";"17th Century";"52391";"2699";"0.05151648183848371";"0.5141666666666667";"0.5300000000000001";"0.5128571428571429";"0.5100000000000001";"0.5123076923076924"
"30";"Matias Aires";"Reflexoes Sobre a Vaidade dos Homens";"1752";"aires1752.txt";"18th Century";"54942";"3358";"0.061118998216300825";"0.4741666666666667";"0.4977777777777777";"0.4876923076923077";"0.4719444444444444";"0.4723076923076924"
"31";"Manoel Botelho de Oliveira";"À Ilha da Maré";"1705";"botelho1705.txt";"18th Century";"1852";"597";"0.32235421166306694";"0.37166666666666676";"0.3705555555555555";"0.35307692307692307";"0.3375";"0.3346153846153846"
"32";"Pedro Correia Garcao";"Obras Completas";"18th Century";"garcao18th.txt";"18th Century";"24562";"2783";"0.11330510544743913";"0.4641666666666666";"0.4977777777777778";"0.48000000000000004";"0.4880555555555557";"0.4707692307692308"
"33";"Teresa Margarida da Silva e Ortas";"Aventuras de Diófanes";"1777";"ortas1777.txt";"18th Century";"67649";"3559";"0.052609794675457136";"0.5225";"0.5400000000000001";"0.5307692307692308";"0.5297222222222222";"0.53"
"34";"António Nunes Ribeiro Sanches";"Cartas Sobre a Educacao da Mocidade";"1760";"sanches1760.txt";"18th Century";"56017";"2617";"0.046717960619097776";"0.45083333333333336";"0.4655555555555555";"0.43846153846153846";"0.4408333333333333";"0.4530769230769231"
"35";"Antonio José da Silva";"Vida do Grande D. Quixote de La Mancha e do Gordo Sancho Panca";"1733";"silva1733.txt";"18th Century";"20055";"2133";"0.10635751682872102";"0.5141666666666667";"0.4972222222222222";"0.5584615384615386";"0.5383333333333333";"0.5315384615384615"
"36";"Antonio José da Silva";"Esopaida ou Vida de Esopo";"1734";"silva1734.txt";"18th Century";"20455";"2007";"0.0981178196040088";"0.5308333333333333";"0.5194444444444445";"0.5923076923076923";"0.5519444444444443";"0.5638461538461539"
"37";"Antonio José da Silva";"Os Encantos de Medeia";"1735";"silva1735.txt";"18th Century";"16685";"1711";"0.10254719808210969";"0.5391666666666666";"0.5161111111111111";"0.5992307692307692";"0.5366666666666666";"0.5346153846153847"
