"";"Unnamed: 0";"author";"title";"date";"filename";"century";"words";"16th_century_mean_similarity";"17th_century_mean_similarity";"18th_century_mean_similarity";"19th_century_mean_similarity";"20th_century_mean_similarity";"number_of_nodes";"normalized_number_of_nodes";"number_of_edges";"normalized_number_of_edges";"density";"assortativity_coefficient";"average_shortest_path_length";"diameter";"transitivity";"mean_degree";"mean_clustering";"max_clustering";"mean_betweenness_centrality";"max_betweenness_centrality"
"0";"0";"José de Anchieta";"Feitos de Mem de Sá";"1560";"anchieta1560.txt";"16th Century";"27163";"0.1848029267587151";"0.18316208358495226";"0.16569524004813005";"0.1605600138935016";"0.16224671927209494";"3442";"0.1267164893421198";"14884";"0.5479512572249016";"0.0012566783199011273";"-0.0378944010234088";"4.354327149834152";"11";"0.0412547781602419";"8.648460197559558";"0";"0";"11866.35536022907";"729903.1100185706"
"1";"1";"José de Anchieta";"Auto de Sao Lourenco";"1586";"anchieta1586.txt";"16th Century";"6896";"0.3031380253204595";"0.313076385084609";"0.33401000927210817";"0.2953773581406689";"0.272886648125232";"1357";"0.19678074245939675";"3825";"0.554669373549884";"0.0020787004128054467";"-0.10674994448087899";"4.5308044439340565";"12";"0.04001208824418253";"5.637435519528371";"0";"0";"4968.258704361464";"446737.871311745"
"2";"2";"Joao de Barros";"Gramática";"1540";"barros1540.txt";"16th Century";"51060";"0.3505104699313585";"0.4090800634579366";"0.394480605691301";"0.4113012892243584";"0.4122689489889741";"4463";"0.08740697218958089";"23118";"0.45276145710928317";"0.001160897314670462";"-0.12214314697198089";"3.8708587355991337";"12";"0.06341318060329905";"10.359847636119202";"0.21040804439264518";"2.0";"13597.33987265243";"2633253.770350012"
"3";"3";"Pero Vaz de Caminha";"Carta a Manuel I";"1550";"caminha1500.txt";"16th Century";"7915";"0.3320280676488943";"0.33158007879654633";"0.2937992049603472";"0.3088523746214336";"0.3264565581588975";"870";"0.10991787744788377";"3620";"0.4573594440934934";"0.004788169781622422";"-0.042234521932381225";"4.017952991283415";"13";"0.11056616060889739";"8.32183908045977";"0.18499160260027483";"2.0";"2763.7802129876836";"69647.93868958425"
"4";"4";"Luis de Camoes";"Os Lusíadas";"1572";"camoes1572.txt";"16th Century";"55474";"0.33769574530651625";"0.3372145775903662";"0.31343576635327125";"0.2935547577879895";"0.30332070806369993";"3867";"0.0697083318311281";"27703";"0.49938710026318633";"0.0018530655415161465";"-0.1284160251567938";"3.596857437557022";"12";"0.08123431360973722";"14.327902767002845";"0";"0";"10543.245776875401";"1036180.6644165855"
"5";"5";"Luís de Camoes";"Sonetos";"1550";"camoes16th.txt";"16th Century";"15198";"0.27069644159997336";"0.2889496488926348";"0.3320121110521567";"0.31401126602506874";"0.2957629803581745";"1679";"0.11047506250822477";"7499";"0.493420186866693";"0.0026617097838332452";"-0.06816028242396262";"4.0672867029512005";"13";"0.08399495134562925";"8.932698034544371";"0.16976990745179635";"2.0";"5391.076061710139";"255404.65342513155"
"6";"6";"Pero de Magalhaes Gandavo";"História da Província Santa Cruz";"1576";"gandavo1576.txt";"16th Century";"21537";"0.29852828750238564";"0.3016775700563142";"0.25087511330161416";"0.31264132391440724";"0.32379931826255753";"1771";"0.08223057993220968";"8261";"0.3835724567024191";"0.0026353651261536303";"-0.1553625302556569";"3.7505708734890755";"10";"0.09062696417347581";"9.329192546583851";"0.2696721533033079";"2.0";"5194.622842460682";"320609.9649694188"
"7";"7";"Francisco Guerreiro";"Itinerário da Viagem que Fez a Jerusalém o M.R.P.";"1550";"guerreiro16th.txt";"16th Century";"17304";"0.3156498751343381";"0.32245333746666643";"0.2767842448558596";"0.3012278893537159";"0.3140019729088555";"1365";"0.07888349514563107";"6126";"0.3540221914008322";"0.0032902581289678064";"-0.13072200778381904";"3.829580634419344";"12";"0.10226287581346782";"8.975824175824176";"0.27335868735831814";"2.0";"4084.705563366158";"180584.8176799865"
"8";"8";"Francisco de Holanda";"Da Pintura Antiga";"1548";"holanda1548.txt";"16th Century";"49038";"0.3025542670492784";"0.3172462353248222";"0.2954606513686434";"0.3114879362447504";"0.3243105217390245";"2452";"0.05000203923487907";"16094";"0.32819446143806846";"0.0026779361621550746";"-0.16614648945720378";"3.5156978907300878";"13";"0.11301284429143808";"13.127243066884176";"0.40364334890040227";"2.0";"6700.417342955527";"715681.6484479483"
"9";"9";"Fernao Mendes Pinto";"Peregrinacao";"1510";"pinto1510.txt";"16th Century";"44212";"0.3960494530003009";"0.38523757440595546";"0.32978624882141616";"0.3602223665428903";"0.3772378538696025";"2557";"0.05783497692934045";"16487";"0.37290780783497696";"0.0025226096945816907";"-0.1395859672939962";"3.6505797702829326";"13";"0.11811618891807489";"12.895580758701604";"0.31652000553166265";"2.0";"7285.7262046955";"552302.2457847024"
"10";"10";"Luis de Sousa";"A Vida de Frei Bartolomeu dos Mártires (Edited Orthography)";"1556";"sousa1556.txt";"16th Century";"52595";"0.3701162923891931";"0.39145050360330935";"0.3259272818918886";"0.3851747300712732";"0.3915595143396736";"3576";"0.06799125392147543";"23224";"0.4415628862059131";"0.0018166173870871858";"-0.1361657987682647";"3.619144881963674";"10";"0.0851731905331952";"12.988814317673379";"0.2752532545775512";"2.0";"9980.283187114788";"1597043.9894747958"
