"";"author";"title";"date";"filename";"century";"words";"number_of_nodes";"normalized_number_of_nodes";"density";"assortativity_coefficient";"average_shortest_path_length";"diameter";"transitivity";"mean_degree";"mean_clustering";"max_clustering";"size_gcc";"strongly_connected_components"
"0";"José de Anchieta";"Feitos de Mem de Sá";"1560";"anchieta1560.txt";"16th Century";"27163";"3693";"0.13595700033133307";"0.0012788095189898373";"-0.28151500167009036";"3.2315538638995167";"9.338888888888889";"0.020623494632197467";"8.32479764971406";"0.5595705791403254";"2.0";"0.999458434876794";"3"
"1";"José de Anchieta";"Auto de Sao Lourenco";"1586";"anchieta1586.txt";"16th Century";"6896";"1590";"0.23056844547563804";"0.002169395727703433";"-0.2795168233305135";"3.763396392921708";"14.452380952380953";"0.05021778191440004";"6.433923604218452";"0.34355212068535856";"2.0";"0.9987421383647799";"3"
"2";"Joao de Barros";"Gramática";"1540";"barros1540.txt";"16th Century";"51060";"7050";"0.13807285546415982";"0.0006280253021151835";"-0.2549483312122768";"3.9200848166180204";"18.436572199730094";"0.028264510454223575";"7.834940979795351";"0.5732768583380494";"2.0";"1.0";"1"
"3";"Pero Vaz de Caminha";"Carta a Manuel I";"1550";"caminha1500.txt";"16th Century";"7915";"1013";"0.12798483891345547";"0.004877306478233557";"-0.2832957164926794";"3.1745002711782404";"11.176923076923076";"0.07721331247147793";"8.472282442947398";"0.6350775543109649";"2.0";"1.0";"1"
"4";"Luis de Camoes";"Os Lusíadas";"1572";"camoes1572.txt";"16th Century";"55474";"5688";"0.10253452067635288";"0.0010725042952107566";"-0.2567795634813824";"3.233872929485214";"8.576832151300236";"0.03463136731659256";"10.786364677261687";"0.6174044999973481";"2.0";"0.9998241912798875";"2"
"5";"Luís de Camoes";"Sonetos";"1550";"camoes16th.txt";"16th Century";"15198";"2117";"0.13929464403210948";"0.0023169624240887295";"-0.2900860259499628";"3.4926428239126417";"10.188311688311689";"0.06448155560659252";"8.744778677249514";"0.49564787280500083";"2.0";"1.0";"1"
"6";"Pero de Magalhaes Gandavo";"História da Província Santa Cruz";"1576";"gandavo1576.txt";"16th Century";"21537";"2728";"0.1266657380322236";"0.0016904916298081422";"-0.2954212417245583";"3.2148791425975562";"8.777777777777779";"0.040439193521506524";"7.965583203132772";"0.7454776087181095";"2.0";"0.999633431085044";"2"
"7";"Francisco Guerreiro";"Itinerário da Viagem que Fez a Jerusalém o M.R.P.";"1550";"guerreiro16th.txt";"16th Century";"17304";"2486";"0.143666204345816";"0.0016735974981020476";"-0.31294081051371353";"3.3058623664756035";"9.134387351778656";"0.031530626043924315";"7.211156368649474";"0.6328757854106245";"2.0";"1.0";"1"
"8";"Francisco de Holanda";"Da Pintura Antiga";"1548";"holanda1548.txt";"16th Century";"49038";"5076";"0.10351156246176435";"0.0010260590744816719";"-0.2812617920846207";"3.160762595736917";"19.104422604422606";"0.03060479776799767";"8.941014752785795";"0.8440254125699341";"2.0000000000000004";"1.0";"1"
"9";"Fernao Mendes Pinto";"Peregrinacao";"1510";"pinto1510.txt";"16th Century";"44212";"3866";"0.0874423233511264";"0.001389899271119368";"-0.2781617500620847";"3.211481191720837";"11.108695652173914";"0.04490788788205711";"8.811737849573968";"0.8231487167191361";"2.0";"1.0";"1"
"10";"Luis de Sousa";"A Vida de Frei Bartolomeu dos Mártires (Edited Orthography)";"1556";"sousa1556.txt";"16th Century";"52595";"4887";"0.09291757771651298";"0.0011601531492617312";"-0.28613029195790146";"3.3554285091114866";"19.0";"0.03332593872787482";"9.619827101620745";"0.8181159025069243";"2.0";"1.0";"1"
"11";"Gil Vicente";"Mixed Texts";"1550";"vicente16th.txt";"16th Century";"125944";"9264";"0.07355650130216604";"0.0007628148797833861";"-0.23354778673043908";"3.2979664415058183";"13.658730158730158";"0.048758337347647146";"12.177023291796857";"0.7587686037014593";"2.0000000000000004";"1.0";"1"
"12";"Manuel Pires de Almeida";"Poesia e Pintura";"1633";"almeida1633.txt";"17th Century";"24763";"4719";"0.19056657109397085";"0.000721650438402529";"-0.24254233928054128";"4.652366786167703";"30.5";"0.031355527454202205";"6.106232342577379";"0.43608630787636127";"2.0";"1.0";"1"
"13";"Manuel de Almeida";"Vida de Takla Haymanot";"1650";"almeida17th.txt";"17th Century";"9157";"1730";"0.18892650431363983";"0.0020159335644580547";"-0.29077436341308693";"3.827721197181161";"15.453968253968252";"0.033717288100126856";"6.122533970111589";"0.4680512539129553";"2.0";"0.9982658959537573";"4"
"14";"Antonio Brandao";"Monarchia Lusitana";"1632";"brandao1632.txt";"17th Century";"49938";"5359";"0.10731306820457368";"0.0008863071552141879";"-0.23407498981677274";"4.019978809983672";"15.68035714285714";"0.03642554587886822";"8.018401785961483";"0.5792175615100795";"2.0";"1.0";"1"
"15";"José da Cunha Brochado";"Cartas";"1650";"brochado17th.txt";"17th Century";"31888";"3060";"0.095960863020572";"0.0017487238984075703";"-0.31341299022146824";"3.061810109245834";"9.058823529411764";"0.038316755861380156";"9.097569249346204";"0.8143180869726386";"2.0";"1.0";"1"
