"";"author";"title";"date";"filename";"century";"words";"number_of_nodes";"normalized_number_of_nodes";"density";"assortativity_coefficient";"average_shortest_path_length";"diameter";"transitivity";"mean_degree";"mean_clustering";"max_clustering";"mean_betweenness_centrality";"max_betweenness_centrality"
"0";"José de Anchieta";"Feitos de Mem de Sá";"1560";"anchieta1560.txt";"16th Century";"27163";"3457";"0.12726871111438354";"0.0011760725688083225";"-0.04312661138807269";"4.415320411278169";"12";"0.03877848321447208";"8.129013595603125";"";"";"11399.630351913313";"749600.257322349"
"1";"José de Anchieta";"Auto de Sao Lourenco";"1586";"anchieta1586.txt";"16th Century";"6896";"1363";"0.1976508120649652";"0.00185412027325919";"-0.10486608760410221";"4.632918739153903";"14";"0.03861541137589146";"5.050623624358034";"";"";"4289.802177035288";"348001.757327691"
"2";"Joao de Barros";"Gramática";"1540";"barros1540.txt";"16th Century";"51060";"4494";"0.08801410105757931";"0.0010944681688996314";"-0.11860548251791218";"3.903045271328971";"12";"0.06174702123146004";"9.834890965732088";"";"";"13050.769489977556";"2560535.256534706"
"3";"Pero Vaz de Caminha";"Carta a Manuel I";"1550";"caminha1500.txt";"16th Century";"7915";"901";"0.11383449147188882";"0.004197804908126773";"-0.034167413517698385";"4.147334381291495";"14";"0.10009652164587281";"7.556048834628191";"";"";"2711.5335675336887";"72101.76156390026"
"4";"Luis de Camoes";"Os Lusíadas";"1572";"camoes1572.txt";"16th Century";"55474";"3879";"0.06992464938529762";"0.0017583207126457229";"-0.12492685704532659";"3.61108254747503";"12";"0.07978531268148545";"13.637535447280227";"";"";"10088.677672154372";"1009582.8612113788"
"5";"Luís de Camoes";"Sonetos";"1550";"camoes16th.txt";"16th Century";"15198";"1692";"0.11133043821555468";"0.0025122572148755825";"-0.07263395047325716";"4.0936364584357285";"13";"0.08507673863501355";"8.49645390070922";"";"";"5123.5137892473485";"243768.3771059838"
"6";"Pero de Magalhaes Gandavo";"História da Província Santa Cruz";"1576";"gandavo1576.txt";"16th Century";"21537";"1800";"0.08357709987463435";"0.0024609350873942316";"-0.1539844921815086";"3.773788279665358";"10";"0.0868680241271072";"8.854444444444445";"";"";"5013.666069929823";"324922.7458580326"
"7";"Francisco Guerreiro";"Itinerário da Viagem que Fez a Jerusalém o M.R.P.";"1550";"guerreiro16th.txt";"16th Century";"17304";"1385";"0.08003929727230698";"0.0030273783936061436";"-0.12618772467906242";"3.8697917910609023";"11";"0.09178523265876276";"8.379783393501805";"";"";"3863.492133305169";"183522.87367163293"
"8";"Francisco de Holanda";"Da Pintura Antiga";"1548";"holanda1548.txt";"16th Century";"49038";"2474";"0.050450670908275215";"0.0025177331510139746";"-0.16204223745731855";"3.548067707640911";"13";"0.11100836284934958";"12.452708164915117";"";"";"6522.954937801167";"690534.0657507555"
"9";"Fernao Mendes Pinto";"Peregrinacao";"1510";"pinto1510.txt";"16th Century";"44212";"2583";"0.0584230525649145";"0.002511505694895391";"-0.13462715056016428";"3.648657691597184";"12";"0.11446870305926836";"12.969415408439799";"";"";"7227.592799810448";"619108.4059819498"
"10";"Luis de Sousa";"A Vida de Frei Bartolomeu dos Mártires (Edited Orthography)";"1556";"sousa1556.txt";"16th Century";"52595";"3605";"0.0685426371328073";"0.001731778991134831";"-0.13290138466755738";"3.645151889440656";"10";"0.08366659320771687";"12.482662968099861";"";"";"9721.344680754813";"1577060.8859006586"
"11";"Gil Vicente";"Mixed Texts";"1550";"vicente16th.txt";"16th Century";"125944";"5400";"0.042876198945563104";"0.0015527909832410668";"-0.17135497947928696";"3.3349332773575395";"9";"0.08947324619335978";"16.76703703703704";"";"";"12678.461845474618";"3255064.1182209356"
"12";"Manuel Pires de Almeida";"Poesia e Pintura";"1633";"almeida1633.txt";"17th Century";"24763";"2538";"0.10249162056293663";"0.001564551493685418";"-0.07909175542115995";"4.343759963890533";"17";"0.07007146705440194";"7.938534278959811";"";"";"8442.224592609744";"1179516.400821061"
