"";"author";"title";"date";"filename";"century";"words";"number_of_nodes";"normalized_number_of_nodes";"density";"assortativity_coefficient";"average_shortest_path_length";"diameter";"transitivity";"mean_degree";"mean_clustering";"max_clustering";"mean_betweenness_centrality";"max_betweenness_centrality"
"0";"José de Anchieta";"Feitos de Mem de Sá";"1560";"anchieta1560.txt";"16th Century";"27163";"3699";"0.13617788904023856";"0.0013082190368788372";"-0.3651771720021071";"3.0993671729093215";"11";"0.020126990203343152";"9.67558799675588";"";"";"9521.853888774283";"3154125.8532499867"
"1";"José de Anchieta";"Auto de Sao Lourenco";"1586";"anchieta1586.txt";"16th Century";"6896";"1596";"0.2314385150812065";"0.002287458458057369";"-0.33380891428544984";"3.352383329566337";"8";"0.04208810276324422";"7.296992481203008";"";"";"4417.468423782124";"765627.4592371358"
"2";"Joao de Barros";"Gramática";"1540";"barros1540.txt";"16th Century";"51060";"7056";"0.1381903642773208";"0.000631417225524748";"-0.2968993476534777";"3.4534677123861592";"15";"0.020369181721039326";"8.909297052154194";"0.7720610476881417";"2.0";"21237.321861279193";"17393898.41128954"
"3";"Pero Vaz de Caminha";"Carta a Manuel I";"1550";"caminha1500.txt";"16th Century";"7915";"1018";"0.12861655085281112";"0.004849773883277022";"-0.34019368313680576";"3.0184129136699682";"7";"0.06671456052694787";"9.864440078585462";"0.7998495078745829";"2.0";"2557.375378893514";"290794.3319046757"
"4";"Luis de Camoes";"Os Lusíadas";"1572";"camoes1572.txt";"16th Century";"55474";"5694";"0.10264267945343765";"0.0010476326740712948";"-0.2699758259373269";"3.027945357655228";"8";"0.025327279893281592";"11.928345626975764";"";"";"14450.76612022172";"10457791.936812602"
"5";"Luís de Camoes";"Sonetos";"1550";"camoes16th.txt";"16th Century";"15198";"2123";"0.1396894328201079";"0.002338953599617847";"-0.30185287181448744";"3.231322444409619";"11";"0.05195165413710903";"9.926519076778144";"0.7163202900280081";"2.0";"5687.624847534854";"1373194.8179806808"
"6";"Pero de Magalhaes Gandavo";"História da Província Santa Cruz";"1576";"gandavo1576.txt";"16th Century";"21537";"2732";"0.1268514649208339";"0.0016966685305582615";"-0.31837700227342103";"3.19167186999932";"11";"0.04061808674666488";"9.267203513909225";"";"";"7462.313444529297";"1634480.3478061538"
"7";"Francisco Guerreiro";"Itinerário da Viagem que Fez a Jerusalém o M.R.P.";"1550";"guerreiro16th.txt";"16th Century";"17304";"2492";"0.14401294498381878";"0.0016407381178985925";"-0.33494215755655116";"3.1704347529114445";"10";"0.025621372576572432";"8.174157303370787";"0.8278720573660233";"2.0";"6888.053164298179";"2324686.3169953735"
"8";"Francisco de Holanda";"Da Pintura Antiga";"1548";"holanda1548.txt";"16th Century";"49038";"5082";"0.10363391655450875";"0.001025457637434521";"-0.315648622617992";"3.101212347378993";"18";"0.028562101754479922";"10.420700511609603";"0.9442255975318468";"2.0";"13508.284972431096";"6381149.6508281715"
"9";"Fernao Mendes Pinto";"Peregrinacao";"1510";"pinto1510.txt";"16th Century";"44212";"3871";"0.08755541481950602";"0.0013526007007650474";"-0.30083916794854443";"3.1354240135854163";"10";"0.03706943952519116";"10.469129423921467";"0.8844750579125545";"2.0";"10348.790830781827";"4116317.539260535"
"10";"Luis de Sousa";"A Vida de Frei Bartolomeu dos Mártires (Edited Orthography)";"1556";"sousa1556.txt";"16th Century";"52595";"4893";"0.09303165700161613";"0.0011465726314178197";"-0.3326918930686927";"3.1305414195759824";"15";"0.027761914722347396";"11.218066625791948";"0.993178570039703";"2.0";"13245.624048081103";"6477634.610092775"
"11";"Gil Vicente";"Mixed Texts";"1550";"vicente16th.txt";"16th Century";"125944";"9270";"0.07360414152321666";"0.0006872498287141733";"-0.2916640159744804";"3.049231812017253";"12";"0.026783455109442307";"12.740237324703344";"1.03534620337637";"2.0";"24418.726198555763";"25561460.283033967"
