"author";"title";"date";"filename";"century";"words"
"Aires, Matias";"Reflexões sobre a Vaidade dos Homens";"1705";"a_001_pos.txt";"18th Century";"56479"
"Alorna, Marquês da Fronteira e";"Memórias do Marquês da Fronteira e d"Alorna";"1802";"a_003_pos.txt";"19th Century";"54588"
"Alorna, Marquesa de";"Cartas, Marquesa de Alorna";"1750";"a_004_pos.txt";"18th Century";"49900"
"Argote, Jerónimo Contador de";"Regras da Língua Portuguesa, Espelho da Língua Latina";"1676";"a_005_pos.txt";"17th Century";"58817"
"Barros, André";"Vida do apostólico padre Antonio Vieira";"1675";"b_001_pos.txt";"17th Century";"52055"
"Bernardes, Manuel";"Nova Floresta";"1644";"b_003_pos.txt";"17th Century";"52374"
"Branco, Camilo Castelo";"Maria Moisés";"1826";"b_005_pos.txt";"19th Century";"24265"
"Brochado, José da Cunha";"Cartas, J.C. Brochado ";"1651";"b_008_pos.txt";"17th Century";"35058"
"Cavaleiro de Oliveira";"Cartas, Cavaleiro de Oliveira";"1702";"c_001_pos.txt";"18th Century";"51234"
"Céu, Maria do";"Vida e Morte de Madre Helena da Cruz";"1658";"c_002_pos.txt";"17th Century";"27419"
"Chagas, António das";"Cartas Espirituais";"1631";"c_003_pos.txt";"17th Century";"54477"
"Costa, Antonio";"Cartas, Antonio da Costa";"1714";"c_004_pos.txt";"18th Century";"27096"
"Costa, J.D. Rodrigues da";"Entremezes de Cordel";"1757";"c_005_pos.txt";"18th Century";"24252"
"Costa, Manuel da";"A arte de furtar";"1601";"c_006_pos.txt";"17th Century";"52867"
"Couto, Diogo do";"Décadas";"1542";"c_007_pos.txt";"16th Century";"47605"
"Cascais, Joaquim da Costa";"A inauguração da estátua equestre";"1815";"c_008_pos.txt";"19th Century";"27835"
"Chiado, António Ribeiro";"Teatro, António Ribeiro Chiado";"1520";"c_010_pos.txt";"16th Century";"22814"
"Ferreira, Antônio";"Teatro, Antônio Ferreira";"1528";"f_002_pos.txt";"16th Century";"50737"
"Galhegos, M.";"Gazeta, Manual Galhegos";"1597";"g_001_pos.txt";"16th Century";"28839"
"Garção, Correia";"Obras Completas, Correia Garção";"1724";"g_002_pos.txt";"18th Century";"24932"
"Garrett, J.B.S.L. de Almeida";"Cartas, Almeida Garret";"1799";"g_003_pos.txt";"18th Century";"42947"
"Garrett, J.B.S.L. de Almeida";"Teatro, Almeida Garret";"1799";"g_004_pos.txt";"18th Century";"44252"
"Garrett, J.B.S.L. de Almeida";"Viagens na minha terra, Almeida Garret";"1799";"g_005_pos.txt";"18th Century";"51544"
"Gusmão, Alexandre de";"Cartas, Alexandre de Gusmão";"1695";"g_006_pos.txt";"17th Century";"32353"
"Gandavo, Pero Magalhães de";"História da Província de Santa Cruz";"1540";"g_008_pos.txt";"16th Century";"22944"
"Galvão, Cândido da Fonseca";"Carbonário: Artigos de D. Obá II";"1845";"g_010_pos.txt";"19th Century";"16040"
"Holanda, F.";"Da pintura antiga";"1517";"h_001_pos.txt";"16th Century";"56338"
"Lobo, F. R.";"Côrte na Aldeia e Noites de Inverno";"1579";"l_001_pos.txt";"16th Century";"59878"
"Melo, F. M. de";"Cartas Familiares, F.M. de Melo";"1608";"m_003_pos.txt";"17th Century";"58070"
"Matoso, Luis Montez";"Folheto de Lisboa";"1701";"m_009_pos.txt";"18th Century";"13046"
"Macedo, António de Sousa de";"Mercúrio Português";"1606";"m_010_pos.txt";"17th Century";"46992"
"Ortigão, R.";"Cartas a Emília, Ramalho Ortigão";"1836";"o_001_pos.txt";"19th Century";"32441"
"Pinto, Fernão Mendes";"Perigrinação";"1510";"p_001_pos.txt";"16th Century";"47580"
"Rebelo, Manoel Coelho";"Musa Entretenida de Vários Entremezes";"1625";"r_001_pos.txt";"17th Century";"9446"
"Sousa, Frei Luis de";"A vida de Frei Bertolameu dos Mártires";"1556";"s_001_pos.txt";"16th Century";"53986"
"Sutil, Nuno Nisceno";"Musa Jocosa de Vários Entremezes Portugueses e Castelhanos";"1675";"s_005_pos.txt";"17th Century";"21660"
"Verney, L. A.";"Verdadeiro Método de Estudar";"1713";"v_001_pos.txt";"18th Century";"49335"
"Vieira, Antônio";"Cartas, Antonio Vieira";"1608";"v_002_pos.txt";"17th Century";"57088"
"Vieira, Antonio";"Sermões, Antonio Vieira";"1608";"v_004_pos.txt";"17th Century";"53855"
"Vicente, Gil";"Teatro, Gil Vicente";"1465";"v_005_pos.txt";"15th Century";"32897"
"Various (~1830)";"Atas dos Brasileiros";"1830";"va_002_pos.txt";"19th Century";"53529"
"Various (~1800-1899)Cartas Brasileiras";"Cartas Brasileiras: cultos";"1850";"va_004_pos.txt";"19th Century";"63083"
"Various (~1700-1799)";"Gazeta de Lisboa";"1750";"va_009_pos.txt";"18th Century";"59960"
"Various (1788-1829)";"Jornais da Bahia (1833-1850)";"1833";"va_010_pos.txt";"19th Century";"79362"
"Various (1827-1876)";"Jornais da Bahia (1898-1900)";"1898";"va_011_pos.txt";"19th Century";"78579"
"Various (1882-1922)";"Jornais da Bahia (1945-1948)";"1945";"va_012_pos.txt";"20th Century";"79900"
